,feature1,feature2,feature3,target
0,0.9350677554421484,0.8931038516078401,0.9720990998326344,0
1,0.8500017891762456,0.13926018139547514,0.05108162243383829,0
2,0.678320209970276,0.05430261124076352,0.049182762474237474,0
3,0.3159927968388384,0.8207189010820459,0.8825362377338709,1
4,0.7473693640957859,0.9844656047938382,0.15391791757366957,0
5,0.6321799076619001,0.73403834568434,0.764711294311585,1
6,0.862616302211366,0.6422140998675521,0.040283640948800326,1
7,0.541432349921264,0.7972364912401901,0.5549090899411868,1
8,0.06297714943619426,0.2315209182482567,0.6685859352415996,0
9,0.9250319128419887,0.3189837087156092,0.12691562762820108,0
10,0.5952645282596805,0.6401235776811236,0.4858766129212072,0
11,0.2659372903841497,0.30653613175880234,0.032523773368008935,0
12,0.014697209786976195,0.5844741514114271,0.15425833412914236,1
13,0.08848931560808382,0.3284785341944625,0.7994820646056011,1
14,0.6005839805169744,0.6217349502662274,0.20584986020709828,0
15,0.044809921475805425,0.009745692486346824,0.9068900497249525,1
16,0.5433272136431521,0.3123072222484693,0.13605643192556438,1
17,0.9063252157469993,0.7967046571532105,0.24438491240867755,0
18,0.4134054540090578,0.3401832363806816,0.7889806089401863,1
19,0.2084222701132008,0.26592499346375054,0.5662673179336124,1
20,0.9158695493631244,0.6597667455619588,0.03129743874517765,0
21,0.7183765610717033,0.8586861709338832,0.7591718906022542,0
22,0.6609694811370479,0.8097644932835819,0.5524943521335623,1
23,0.8498804526403566,0.0747138960665249,0.6180898659801993,0
24,0.7894228712673157,0.8061016876136545,0.9094769978795694,1
25,0.8867406058648096,0.7014066847761564,0.6219505267523999,0
26,0.2506660623700875,0.9740929361587927,0.8248796119605443,1
27,0.5189493503154989,0.7746619348393051,0.06795558889081177,1
28,0.19350399128675844,0.42812263083065694,0.7709965178303089,1
29,0.7855525655005204,0.5801977517580907,0.8042889340509162,1
30,0.358047128727212,0.7745931858908978,0.9568858371853587,1
31,0.30495498772184715,0.12243701838802368,0.8713497656317906,1
32,0.06022080219769188,0.9937720311128062,0.028612109353377102,0
33,0.4678362631369768,0.8116118845265751,0.3548184299772661,1
34,0.6644150163723069,0.8474567632922155,0.11044244542164472,1
35,0.7380590185227348,0.20907343700612335,0.3836701443684317,0
36,0.3665246283803204,0.7999130323802861,0.35732660843104513,0
37,0.45356501612972266,0.28468030516760123,0.16424864960916752,0
38,0.9212365911144236,0.7697070204763353,0.33604325680652536,1
39,0.30860044416496035,0.01724292227195845,0.6689404389799652,1
40,0.05892120213806762,0.669850900109704,0.6770865872415011,1
41,0.7836244372043077,0.09068930399167763,0.4505895887839716,1
42,0.3865529718946231,0.842882172770315,0.2636874127358795,0
43,0.816953382810428,0.3754325458944756,0.10553936844756584,1
44,0.7733909129636731,0.6726982780786637,0.13368599235699075,1
45,0.13328464618978897,0.6714364618239684,0.1022004439275549,0
46,0.6574159110175382,0.809112235801952,0.21629126800437604,0
47,0.30626300036069654,0.021143790266853868,0.1969571754846936,1
48,0.017248432474393782,0.3853348177999254,0.5734324934850302,0
49,0.6260481659012522,0.7096117081058558,0.03608502016675341,0
50,0.9970368458317078,0.6359741749455989,0.15870230726987256,1
51,0.2575869396189251,0.7701403927723766,0.05253279317585091,0
52,0.8185046307486286,0.6417518166151174,0.6731574156536168,1
53,0.24608918321330986,0.8628908893646866,0.7724427712434815,1
54,0.827311363071825,0.336460074861909,0.40156384980025805,0
55,0.16596815883304028,0.3305996786001393,0.35197917518851574,1
56,0.2167621881730305,0.5964272453617404,0.47972559575211904,0
57,0.4258445787101477,0.2634349007917154,0.40112450617738604,1
58,0.8589100001392215,0.7845179914725318,0.24034849499662292,0
59,0.10500807236642684,0.8897738088160506,0.1760822697453578,0
60,0.6107135939597402,0.364580188125052,0.39404843179649407,0
61,0.19405026580175588,0.24181104262960962,0.11722815409832055,0
62,0.5983062330398559,0.7845868075284266,0.42363010730397577,0
63,0.35276517500301807,0.029693347281264826,0.0446939294304991,0
64,0.2310159098480954,0.09127774621598628,0.015104442476616686,1
65,0.5101089166285052,0.6202277583843817,0.5512458260722055,1
66,0.04417135519012061,0.5532148028699204,0.09224270530854617,1
67,0.7340885581384591,0.2227190230731242,0.8205367494194777,0
68,0.8789869155788131,0.6334129296360149,0.26746563845786275,0
69,0.9149656574717655,0.25721324027385006,0.3434858894845406,1
70,0.8106226472411113,0.852744001347753,0.6294125305186327,1
71,0.7331723497394538,0.9158150390400912,0.8747167560592393,1
72,0.8798123898424212,0.28261544817111206,0.7049019251171744,1
73,0.09037870006753046,0.2989073701000752,0.2930930956200781,0
74,0.4972907613547114,0.20518630243036917,0.07508054585754165,0
75,0.6559612925956583,0.6302279398751597,0.3125089793879712,0
76,0.639587851056504,0.433516460601334,0.5683648683094671,1
77,0.9642656850107285,0.9890142357251902,0.4972616375863457,1
78,0.4116956548010604,0.7106704056693649,0.20468828311649423,1
79,0.16858117895501112,0.9462961693411638,0.19993132725702045,0
80,0.13798715224580815,0.9020329543438971,0.17393565435363045,0
